Date,Close
2/01/2018 16:00,73.84
3/01/2018 16:00,76.75
4/01/2018 16:00,76.73
5/01/2018 16:00,78.7
8/01/2018 16:00,79.05
9/01/2018 16:00,79.19
10/01/2018 16:00,79.37
11/01/2018 16:00,79.75
12/01/2018 16:00,80.54
16/01/2018 16:00,80.42
17/01/2018 16:00,82.47
18/01/2018 16:00,82.94
19/01/2018 16:00,83.84
22/01/2018 16:00,83.98
23/01/2018 16:00,84.21
24/01/2018 16:00,83.71
25/01/2018 16:00,84.34
26/01/2018 16:00,85.45
29/01/2018 16:00,84.31
30/01/2018 16:00,83.78
31/01/2018 16:00,85.32
1/02/2018 16:00,78.4
2/02/2018 16:00,76.57
5/02/2018 16:00,74.71
6/02/2018 16:00,75.68
7/02/2018 16:00,75.59
8/02/2018 16:00,72.32
9/02/2018 16:00,74.75
12/02/2018 16:00,75.28
13/02/2018 16:00,74.97
14/02/2018 16:00,77.27
15/02/2018 16:00,78.3
16/02/2018 16:00,78.37
20/02/2018 16:00,77.06
21/02/2018 16:00,76.51
22/02/2018 16:00,77.7
23/02/2018 16:00,79.69
26/02/2018 16:00,79.35
27/02/2018 16:00,79.46
28/02/2018 16:00,79.41
1/03/2018 16:00,78.64
2/03/2018 16:00,78.87
5/03/2018 16:00,79.07
6/03/2018 16:00,79.23
7/03/2018 16:00,79.52
8/03/2018 16:00,79.87
9/03/2018 16:00,80.71
12/03/2018 16:00,80.6
13/03/2018 16:00,80.2
14/03/2018 16:00,83.31
15/03/2018 16:00,82.57
16/03/2018 16:00,82.16
19/03/2018 16:00,80.3
20/03/2018 16:00,80.86
21/03/2018 16:00,81.04
22/03/2018 16:00,78.56
23/03/2018 16:00,76.44
26/03/2018 16:00,78.95
27/03/2018 16:00,76.31
28/03/2018 16:00,75.06
29/03/2018 16:00,75.87
2/04/2018 16:00,75
3/04/2018 16:00,74.56
4/04/2018 16:00,74.78
5/04/2018 16:00,76.95
6/04/2018 16:00,73.86
9/04/2018 16:00,75.19
10/04/2018 16:00,76.79
11/04/2018 16:00,76.5
12/04/2018 16:00,77.46
13/04/2018 16:00,77.27
16/04/2018 16:00,77.8
17/04/2018 16:00,80.03
18/04/2018 16:00,80.34
19/04/2018 16:00,79.68
20/04/2018 16:00,78.73
23/04/2018 16:00,78.21
24/04/2018 16:00,75.28
25/04/2018 16:00,74
26/04/2018 16:00,76.03
27/04/2018 16:00,74.13
30/04/2018 16:00,74.61
1/05/2018 16:00,74.81
2/05/2018 16:00,71.73
3/05/2018 16:00,73.45
4/05/2018 16:00,73.99
7/05/2018 16:00,74.67
8/05/2018 16:00,75.72
9/05/2018 16:00,77.01
10/05/2018 16:00,79.19
11/05/2018 16:00,79.2
14/05/2018 16:00,78.81
15/05/2018 16:00,77.79
16/05/2018 16:00,77.82
17/05/2018 16:00,79.19
18/05/2018 16:00,80.79
21/05/2018 16:00,81.25
22/05/2018 16:00,80.62
23/05/2018 16:00,81.08
24/05/2018 16:00,81.55
25/05/2018 16:00,80.96
29/05/2018 16:00,80.73
30/05/2018 16:00,81.6
31/05/2018 16:00,81.6
1/06/2018 16:00,83.25
4/06/2018 16:00,84.57
5/06/2018 16:00,85.05
6/06/2018 16:00,85.21
7/06/2018 16:00,83.27
8/06/2018 16:00,84.34
11/06/2018 16:00,83.89
12/06/2018 16:00,85.02
13/06/2018 16:00,85.27
14/06/2018 16:00,85.61
15/06/2018 16:00,85.31
