Date,Close
2/01/2018 16:00,13.01
3/01/2018 16:00,13.5
4/01/2018 16:00,13
5/01/2018 16:00,13.89
8/01/2018 16:00,13.87
9/01/2018 16:00,13.82
10/01/2018 16:00,13.59
11/01/2018 16:00,14.23
12/01/2018 16:00,12.97
16/01/2018 16:00,12.78
17/01/2018 16:00,12.63
18/01/2018 16:00,12.58
19/01/2018 16:00,12.31
22/01/2018 16:00,12.59
23/01/2018 16:00,12.9
24/01/2018 16:00,12.76
25/01/2018 16:00,12.75
26/01/2018 16:00,13.29
29/01/2018 16:00,12.22
30/01/2018 16:00,12.03
31/01/2018 16:00,12.26
1/02/2018 16:00,11.92
2/02/2018 16:00,11.93
5/02/2018 16:00,11.5
6/02/2018 16:00,11.18
7/02/2018 16:00,11.2
8/02/2018 16:00,10.88
9/02/2018 16:00,11.33
12/02/2018 16:00,11.49
13/02/2018 16:00,11.6
14/02/2018 16:00,11.73
15/02/2018 16:00,12.38
16/02/2018 16:00,12.33
20/02/2018 16:00,12.33
21/02/2018 16:00,12.52
22/02/2018 16:00,11.96
23/02/2018 16:00,12.16
26/02/2018 16:00,12.15
27/02/2018 16:00,12.26
28/02/2018 16:00,10.96
1/03/2018 16:00,11.03
2/03/2018 16:00,10.67
5/03/2018 16:00,10.78
6/03/2018 16:00,10.93
7/03/2018 16:00,11.59
8/03/2018 16:00,11.19
9/03/2018 16:00,11.08
12/03/2018 16:00,11.46
13/03/2018 16:00,11.3
14/03/2018 16:00,11.15
15/03/2018 16:00,11.15
16/03/2018 16:00,11.19
19/03/2018 16:00,10.76
20/03/2018 16:00,10.72
21/03/2018 16:00,10.83
22/03/2018 16:00,10.81
23/03/2018 16:00,10.78
26/03/2018 16:00,11
27/03/2018 16:00,10.87
28/03/2018 16:00,10.93
29/03/2018 16:00,11.27
2/04/2018 16:00,11.25
3/04/2018 16:00,11.11
4/04/2018 16:00,11.09
5/04/2018 16:00,11.01
6/04/2018 16:00,10.66
9/04/2018 16:00,10.79
10/04/2018 16:00,10.7
11/04/2018 16:00,10.5
12/04/2018 16:00,10.47
13/04/2018 16:00,10.35
16/04/2018 16:00,10.53
17/04/2018 16:00,10.87
18/04/2018 16:00,11.91
19/04/2018 16:00,11.59
20/04/2018 16:00,11.38
23/04/2018 16:00,10.79
24/04/2018 16:00,10.97
25/04/2018 16:00,10.62
26/04/2018 16:00,10.49
27/04/2018 16:00,10.61
30/04/2018 16:00,10.49
1/05/2018 16:00,10.48
2/05/2018 16:00,10.9
3/05/2018 16:00,10.89
4/05/2018 16:00,10.82
7/05/2018 16:00,10.48
8/05/2018 16:00,10.39
9/05/2018 16:00,10.34
10/05/2018 16:00,10.96
11/05/2018 16:00,10.52
14/05/2018 16:00,10.45
15/05/2018 16:00,10.64
16/05/2018 16:00,11.98
17/05/2018 16:00,11.74
18/05/2018 16:00,11.74
21/05/2018 16:00,13.61
22/05/2018 16:00,13.37
23/05/2018 16:00,14.26
24/05/2018 16:00,14.61
25/05/2018 16:00,14.56
29/05/2018 16:00,14.9
30/05/2018 16:00,14.61
31/05/2018 16:00,14.79
1/06/2018 16:00,16.31
4/06/2018 16:00,15.31
5/06/2018 16:00,16.4
6/06/2018 16:00,16
7/06/2018 16:00,15.92
8/06/2018 16:00,16
11/06/2018 16:00,15.87
12/06/2018 16:00,16.4
13/06/2018 16:00,14.94
14/06/2018 16:00,15.96
15/06/2018 16:00,15.51
18/06/2018 16:00,15.56
19/06/2018 16:00,15.1
20/06/2018 16:00,15.13
21/06/2018 16:00,14.82
22/06/2018 16:00,15.39
25/06/2018 16:00,14.85
26/06/2018 16:00,15.22
27/06/2018 16:00,14.82
28/06/2018 16:00,14.65
29/06/2018 16:00,15
2/07/2018 16:00,14.51
3/07/2018 13:00,14.87
5/07/2018 16:00,15.6
6/07/2018 16:00,16.53
9/07/2018 16:00,16.25
10/07/2018 16:00,15.68
11/07/2018 16:00,15.49
12/07/2018 16:00,16.08
13/07/2018 16:00,15.91
16/07/2018 16:00,15.62
17/07/2018 16:00,15.66
18/07/2018 16:00,15.56
19/07/2018 16:00,15.75
20/07/2018 16:00,15.31
23/07/2018 16:00,15.25
24/07/2018 16:00,14.3
25/07/2018 16:00,14.46
26/07/2018 16:00,14.35
27/07/2018 16:00,13.46
30/07/2018 16:00,13.55
31/07/2018 16:00,14.1
1/08/2018 16:00,14.62
2/08/2018 16:00,14.87
3/08/2018 16:00,14.51
6/08/2018 16:00,14.75
7/08/2018 16:00,14.46
8/08/2018 16:00,14.34
9/08/2018 16:00,14.3
10/08/2018 16:00,13.84
13/08/2018 16:00,14.19
14/08/2018 16:00,13.95
15/08/2018 16:00,13.42
16/08/2018 16:00,13.47
17/08/2018 16:00,13.58
20/08/2018 16:00,13.84
21/08/2018 16:00,14.26
22/08/2018 16:00,13.57
23/08/2018 16:00,14.35
24/08/2018 16:00,14.74
27/08/2018 16:00,15.16
28/08/2018 16:00,15.1
29/08/2018 16:00,14.91
30/08/2018 16:00,13.88
31/08/2018 16:00,14.25
4/09/2018 16:00,13.84
5/09/2018 16:00,13.49
